epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.40.191;1.110;0.439;0.393;1.473;-95.122;7.927;45.488
1,73E+12;2024-09-28T15.05.40.201;1.120;0.541;0.437;1.518;-100.549;23.659;49.146
1,73E+12;2024-09-28T15.05.40.211;1.130;0.582;0.481;1.476;-111.524;36.220;54.634
1,73E+12;2024-09-28T15.05.40.221;1.140;0.520;0.488;1.396;-128.110;36.829;64.390
1,73E+12;2024-09-28T15.05.40.231;1.150;0.432;0.454;1.336;-145.915;17.195;73.902
1,73E+12;2024-09-28T15.05.40.241;1.160;0.320;0.410;1.312;-164.329;-14.146;78.110
1,73E+12;2024-09-28T15.05.40.251;1.170;0.273;0.375;1.302;-183.110;-43.110;80.671
1,73E+12;2024-09-28T15.05.40.261;1.180;0.351;0.341;1.299;-199.146;-60.610;82.012
1,73E+12;2024-09-28T15.05.40.271;1.190;0.417;0.293;1.318;-211.768;-60.976;79.512
1,73E+12;2024-09-28T15.05.40.281;1.200;0.454;0.251;1.321;-220.488;-51.280;76.280
1,73E+12;2024-09-28T15.05.40.291;1.210;0.449;0.234;1.294;-226.951;-36.098;76.220
1,73E+12;2024-09-28T15.05.40.301;1.220;0.418;0.212;1.244;-233.598;-22.073;81.829
1,73E+12;2024-09-28T15.05.40.311;1.230;0.432;0.197;1.154;-240.305;-16.585;86.707
1,73E+12;2024-09-28T15.05.40.321;1.240;0.412;0.167;1.021;-248.659;-16.951;88.537
1,73E+12;2024-09-28T15.05.40.331;1.250;0.353;0.107;0.907;-256.098;-23.476;91.402
1,73E+12;2024-09-28T15.05.40.341;1.260;0.326;0.032;0.846;-258.476;-31.402;93.537
1,73E+12;2024-09-28T15.05.40.351;1.270;0.333;-0.049;0.863;-254.390;-31.951;92.805
1,73E+12;2024-09-28T15.05.40.361;1.280;0.321;-0.114;0.879;-246.890;-22.195;92.805
1,73E+12;2024-09-28T15.05.40.371;1.290;0.310;-0.142;0.823;-241.280;-5.732;96.402
1,73E+12;2024-09-28T15.05.40.381;1.300;0.362;-0.125;0.745;-239.756;14.024;99.634
1,73E+12;2024-09-28T15.05.40.391;1.310;0.459;-0.095;0.688;-240.854;37.195;99.451
1,73E+12;2024-09-28T15.05.40.401;1.320;0.487;-0.119;0.631;-243.110;59.939;100.305
1,73E+12;2024-09-28T15.05.40.411;1.330;0.424;-0.180;0.550;-244.329;66.463;101.098
1,73E+12;2024-09-28T15.05.40.421;1.340;0.316;-0.214;0.453;-245.915;50.427;100.793
1,73E+12;2024-09-28T15.05.40.431;1.350;0.230;-0.261;0.361;-246.402;17.195;102.134
1,73E+12;2024-09-28T15.05.40.441;1.360;0.150;-0.351;0.287;-244.146;-20.244;105.305
1,73E+12;2024-09-28T15.05.40.451;1.370;0.111;-0.437;0.251;-236.220;-52.561;106.524
1,73E+12;2024-09-28T15.05.40.461;1.380;0.129;-0.500;0.282;-222.317;-68.354;106.220
1,73E+12;2024-09-28T15.05.40.471;1.390;0.181;-0.563;0.325;-203.963;-60.732;107.256
1,73E+12;2024-09-28T15.05.40.481;1.400;0.237;-0.592;0.346;-184.573;-29.390;107.317
1,73E+12;2024-09-28T15.05.40.491;1.410;0.288;-0.593;0.335;-168.110;16.768;106.220
1,73E+12;2024-09-28T15.05.40.501;1.420;0.301;-0.594;0.263;-157.134;65.427;103.659
1,73E+12;2024-09-28T15.05.40.511;1.430;0.239;-0.590;0.175;-150.549;103.354;98.720
1,73E+12;2024-09-28T15.05.40.521;1.440;0.119;-0.595;0.107;-147.012;120.610;93.780
1,73E+12;2024-09-28T15.05.40.531;1.450;-0.024;-0.614;0.037;-144.939;116.280;90.305
1,73E+12;2024-09-28T15.05.40.541;1.460;-0.122;-0.642;0.016;-142.927;97.927;87.683
1,73E+12;2024-09-28T15.05.40.551;1.470;-0.140;-0.683;0.021;-137.927;73.171;83.841
1,73E+12;2024-09-28T15.05.40.561;1.480;-0.140;-0.721;0.053;-128.902;50.366;77.317
1,73E+12;2024-09-28T15.05.40.571;1.490;-0.128;-0.763;0.113;-116.159;35.488;70.549
1,73E+12;2024-09-28T15.05.40.581;1.500;-0.092;-0.808;0.116;-100.915;28.232;64.207
1,73E+12;2024-09-28T15.05.40.591;1.510;-0.053;-0.829;0.103;-86.951;29.207;57.256
1,73E+12;2024-09-28T15.05.40.601;1.520;-0.017;-0.845;0.083;-76.280;38.049;50.244
1,73E+12;2024-09-28T15.05.40.611;1.530;-0.015;-0.846;0.046;-70.183;49.695;44.390
1,73E+12;2024-09-28T15.05.40.621;1.540;-0.031;-0.842;-0.010;-66.646;55.000;38.110
1,73E+12;2024-09-28T15.05.40.631;1.550;-0.068;-0.844;-0.039;-63.902;56.890;30.183
1,73E+12;2024-09-28T15.05.40.641;1.560;-0.172;-0.860;-0.047;-60.915;56.585;29.268
1,73E+12;2024-09-28T15.05.40.651;1.570;-0.310;-0.881;-0.070;-55.305;50.122;39.207
1,73E+12;2024-09-28T15.05.40.661;1.580;-0.359;-0.893;-0.134;-47.378;39.085;49.329
1,73E+12;2024-09-28T15.05.40.671;1.590;-0.263;-0.893;-0.172;-37.622;35.427;46.768
1,73E+12;2024-09-28T15.05.40.681;1.600;-0.105;-0.889;-0.180;-23.659;43.902;33.537
1,73E+12;2024-09-28T15.05.40.691;1.610;0.024;-0.896;-0.168;-3.415;54.756;14.268
1,73E+12;2024-09-28T15.05.40.701;1.620;-0.009;-0.925;-0.142;20.244;60.244;-8.171
1,73E+12;2024-09-28T15.05.40.711;1.630;-0.231;-0.967;-0.137;45.732;54.207;-24.573
1,73E+12;2024-09-28T15.05.40.721;1.640;-0.376;-0.960;-0.158;70.549;35.671;-31.707
1,73E+12;2024-09-28T15.05.40.731;1.650;-0.356;-0.921;-0.181;92.195;15.061;-36.707
1,73E+12;2024-09-28T15.05.40.741;1.660;-0.305;-0.897;-0.180;108.598;-6.098;-41.829
1,73E+12;2024-09-28T15.05.40.751;1.670;-0.327;-0.868;-0.182;120.000;-31.341;-45.061
1,73E+12;2024-09-28T15.05.40.761;1.680;-0.386;-0.826;-0.195;126.280;-57.500;-47.500
1,73E+12;2024-09-28T15.05.40.771;1.690;-0.360;-0.789;-0.189;128.659;-76.402;-48.902
1,73E+12;2024-09-28T15.05.40.781;1.700;-0.255;-0.765;-0.142;130.244;-83.963;-51.280
1,73E+12;2024-09-28T15.05.40.791;1.710;-0.169;-0.760;-0.085;134.817;-83.049;-56.707
1,73E+12;2024-09-28T15.05.40.801;1.720;-0.137;-0.759;-0.022;143.841;-76.951;-63.598
1,73E+12;2024-09-28T15.05.40.811;1.730;-0.115;-0.742;0.036;156.280;-65.305;-70.183
1,73E+12;2024-09-28T15.05.40.821;1.740;-0.062;-0.720;0.096;170.793;-47.622;-75.427
1,73E+12;2024-09-28T15.05.40.831;1.750;0.001;-0.691;0.150;187.317;-25.732;-80.549
1,73E+12;2024-09-28T15.05.40.841;1.760;0.039;-0.661;0.221;203.171;-0.610;-85.244
1,73E+12;2024-09-28T15.05.40.851;1.770;0.038;-0.646;0.265;217.195;21.829;-87.256
1,73E+12;2024-09-28T15.05.40.861;1.780;0.009;-0.611;0.266;226.402;37.622;-86.098
1,73E+12;2024-09-28T15.05.40.871;1.790;-0.016;-0.549;0.266;228.841;48.598;-81.463
1,73E+12;2024-09-28T15.05.40.881;1.800;-0.006;-0.485;0.273;227.317;50.854;-74.756
1,73E+12;2024-09-28T15.05.40.891;1.810;0.010;-0.439;0.286;226.280;42.866;-69.329
1,73E+12;2024-09-28T15.05.40.901;1.820;-0.019;-0.405;0.339;228.841;29.939;-66.220
1,73E+12;2024-09-28T15.05.40.911;1.830;-0.020;-0.374;0.467;237.439;20.976;-65.427
1,73E+12;2024-09-28T15.05.40.921;1.840;0.081;-0.357;0.637;254.939;29.573;-68.841
1,73E+12;2024-09-28T15.05.40.931;1.850;0.263;-0.332;0.881;275.183;65.549;-75.488
1,73E+12;2024-09-28T15.05.40.941;1.860;0.456;-0.282;1.092;291.098;116.402;-80.488
1,73E+12;2024-09-28T15.05.40.951;1.870;0.573;-0.192;1.142;294.085;157.683;-86.037
1,73E+12;2024-09-28T15.05.40.961;1.880;0.432;-0.092;0.920;272.378;186.890;-81.463
1,73E+12;2024-09-28T15.05.40.971;1.890;0.160;0.006;0.659;230.671;206.341;-44.207
1,73E+12;2024-09-28T15.05.40.981;1.900;0.187;0.114;0.598;192.195;191.951;4.756
1,73E+12;2024-09-28T15.05.40.991;1.910;0.220;0.126;0.808;170.610;158.354;21.707
1,73E+12;2024-09-28T15.05.41.001;1.920;0.009;-0.025;1.134;168.963;120.244;20.488
