epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T16.29.35.417;1.010;0.385;0.004;0.850;9.085;-290.488;-18.720
1,73E+12;2024-09-28T16.29.35.427;1.020;0.475;0.011;0.823;9.390;-313.476;-21.159
1,73E+12;2024-09-28T16.29.35.437;1.030;0.516;0.033;0.749;8.963;-342.866;-21.463
1,73E+12;2024-09-28T16.29.35.447;1.040;0.541;0.063;0.685;7.561;-379.878;-22.683
1,73E+12;2024-09-28T16.29.35.457;1.050;0.638;0.065;0.616;2.073;-417.500;-25.122
1,73E+12;2024-09-28T16.29.35.467;1.060;0.678;0.055;0.544;-3.598;-458.171;-25.610
1,73E+12;2024-09-28T16.29.35.477;1.070;0.701;0.049;0.456;-5.671;-500.976;-25.976
1,73E+12;2024-09-28T16.29.35.487;1.080;0.836;0.043;0.352;-6.768;-539.024;-26.037
1,73E+12;2024-09-28T16.29.35.497;1.090;0.956;0.044;0.256;-7.378;-566.159;-25.305
1,73E+12;2024-09-28T16.29.35.507;1.100;1.007;0.046;0.152;-6.768;-580.549;-26.768
1,73E+12;2024-09-28T16.29.35.517;1.110;0.990;0.030;0.045;-4.207;-589.207;-27.927
1,73E+12;2024-09-28T16.29.35.527;1.120;0.917;0.048;-0.091;-0.488;-602.195;-24.512
1,73E+12;2024-09-28T16.29.35.537;1.130;0.931;0.068;-0.214;0.000;-614.207;-20.061
1,73E+12;2024-09-28T16.29.35.547;1.140;1.036;0.050;-0.307;0.732;-611.585;-18.171
1,73E+12;2024-09-28T16.29.35.557;1.150;1.058;0.036;-0.386;5.061;-591.037;-15.122
1,73E+12;2024-09-28T16.29.35.567;1.160;0.972;0.054;-0.464;9.817;-562.927;-8.598
1,73E+12;2024-09-28T16.29.35.577;1.170;0.907;0.063;-0.553;11.159;-535.488;-1.220
1,73E+12;2024-09-28T16.29.35.587;1.180;0.905;0.053;-0.621;11.463;-508.963;3.354
1,73E+12;2024-09-28T16.29.35.597;1.190;0.863;0.047;-0.677;11.524;-486.646;6.463
1,73E+12;2024-09-28T16.29.35.607;1.200;0.764;0.045;-0.755;10.000;-466.646;10.488
1,73E+12;2024-09-28T16.29.35.617;1.210;0.698;0.059;-0.830;6.341;-451.707;12.622
1,73E+12;2024-09-28T16.29.35.627;1.220;0.661;0.075;-0.867;1.220;-445.000;12.500
1,73E+12;2024-09-28T16.29.35.637;1.230;0.691;0.090;-0.905;-6.341;-432.805;10.793
1,73E+12;2024-09-28T16.29.35.647;1.240;0.757;0.068;-0.930;-13.780;-404.390;5.366
1,73E+12;2024-09-28T16.29.35.657;1.250;0.730;0.029;-0.926;-18.232;-360.427;-0.183
1,73E+12;2024-09-28T16.29.35.667;1.260;0.660;0.020;-0.931;-20.244;-305.671;-2.073
1,73E+12;2024-09-28T16.29.35.677;1.270;0.586;0.020;-0.949;-19.756;-251.829;-0.732
1,73E+12;2024-09-28T16.29.35.687;1.280;0.499;0.032;-0.968;-15.915;-210.061;2.561
1,73E+12;2024-09-28T16.29.35.697;1.290;0.486;0.043;-1.005;-11.707;-176.341;4.939
1,73E+12;2024-09-28T16.29.35.707;1.300;0.477;0.059;-1.061;-9.146;-151.402;7.622
1,73E+12;2024-09-28T16.29.35.717;1.310;0.437;0.081;-1.105;-9.878;-133.659;9.268
1,73E+12;2024-09-28T16.29.35.727;1.320;0.378;0.080;-1.128;-13.963;-122.988;9.268
1,73E+12;2024-09-28T16.29.35.737;1.330;0.340;0.076;-1.134;-18.598;-117.866;8.720
1,73E+12;2024-09-28T16.29.35.747;1.340;0.359;0.064;-1.130;-22.439;-111.768;6.159
1,73E+12;2024-09-28T16.29.35.757;1.350;0.392;0.059;-1.109;-23.659;-98.841;2.866
1,73E+12;2024-09-28T16.29.35.767;1.360;0.407;0.048;-1.086;-22.012;-76.585;1.037
1,73E+12;2024-09-28T16.29.35.777;1.370;0.388;0.043;-1.073;-17.561;-49.329;1.037
1,73E+12;2024-09-28T16.29.35.787;1.380;0.353;0.052;-1.069;-11.951;-22.622;2.378
1,73E+12;2024-09-28T16.29.35.797;1.390;0.287;0.053;-1.060;-5.732;-5.610;4.268
1,73E+12;2024-09-28T16.29.35.807;1.400;0.236;0.066;-1.054;-0.244;-0.854;6.159
1,73E+12;2024-09-28T16.29.35.817;1.410;0.257;0.074;-1.051;3.780;-2.073;5.305
1,73E+12;2024-09-28T16.29.35.827;1.420;0.297;0.074;-1.043;6.646;-2.195;3.476
1,73E+12;2024-09-28T16.29.35.837;1.430;0.315;0.075;-1.038;8.110;2.988;2.195
1,73E+12;2024-09-28T16.29.35.847;1.440;0.323;0.086;-1.034;8.293;12.439;0.671
1,73E+12;2024-09-28T16.29.35.857;1.450;0.363;0.089;-1.023;7.195;26.890;-0.976
1,73E+12;2024-09-28T16.29.35.867;1.460;0.411;0.086;-1.012;5.305;48.902;-2.073
1,73E+12;2024-09-28T16.29.35.877;1.470;0.444;0.089;-1.006;3.049;78.049;-1.829
1,73E+12;2024-09-28T16.29.35.887;1.480;0.468;0.089;-1.001;0.488;111.829;-0.854
1,73E+12;2024-09-28T16.29.35.897;1.490;0.477;0.084;-0.996;-1.524;145.610;0.732
1,73E+12;2024-09-28T16.29.35.907;1.500;0.463;0.085;-0.995;-3.110;173.963;3.780
1,73E+12;2024-09-28T16.29.35.917;1.510;0.459;0.095;-0.993;-4.817;193.659;6.829
1,73E+12;2024-09-28T16.29.35.927;1.520;0.490;0.102;-0.991;-7.256;206.768;8.293
1,73E+12;2024-09-28T16.29.35.937;1.530;0.562;0.107;-0.999;-11.037;221.890;8.537
1,73E+12;2024-09-28T16.29.35.947;1.540;0.657;0.104;-1.002;-15.854;245.854;8.780
