epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,72753E+12;2024-09-28T15.53.39.565;0.970;0.209;0.252;0.880;-91.220;6.220;49.085
1,72753E+12;2024-09-28T15.53.39.575;0.980;0.210;0.241;0.876;-90.671;4.207;54.512
1,72753E+12;2024-09-28T15.53.39.585;0.990;0.209;0.230;0.879;-90.610;5.549;58.171
1,72753E+12;2024-09-28T15.53.39.595;1.000;0.190;0.206;0.892;-90.061;8.354;60.122
1,72753E+12;2024-09-28T15.53.39.605;1.010;0.164;0.185;0.889;-89.207;10.793;61.280
1,72753E+12;2024-09-28T15.53.39.615;1.020;0.163;0.165;0.885;-88.293;14.390;62.134
1,72753E+12;2024-09-28T15.53.39.625;1.030;0.166;0.154;0.895;-86.402;18.110;62.683
1,72753E+12;2024-09-28T15.53.39.635;1.040;0.159;0.152;0.888;-83.841;20.122;63.171
1,72753E+12;2024-09-28T15.53.39.645;1.050;0.145;0.137;0.870;-81.707;19.207;64.634
1,72753E+12;2024-09-28T15.53.39.655;1.060;0.104;0.110;0.854;-79.146;14.146;66.280
1,72753E+12;2024-09-28T15.53.39.665;1.070;0.045;0.081;0.846;-75.915;6.159;68.780
1,72753E+12;2024-09-28T15.53.39.675;1.080;0.020;0.056;0.847;-72.195;-0.793;72.500
1,72753E+12;2024-09-28T15.53.39.685;1.090;0.049;0.038;0.845;-68.232;-3.171;74.817
1,72753E+12;2024-09-28T15.53.39.695;1.100;0.082;0.029;0.845;-64.207;-0.244;74.512
1,72753E+12;2024-09-28T15.53.39.705;1.110;0.087;0.020;0.840;-60.671;4.634;74.146
1,72753E+12;2024-09-28T15.53.39.715;1.120;0.074;0.013;0.841;-57.195;7.561;74.878
1,72753E+12;2024-09-28T15.53.39.725;1.130;0.065;0.012;0.831;-53.659;8.232;74.756
1,72753E+12;2024-09-28T15.53.39.735;1.140;0.051;0.001;0.812;-51.037;8.232;74.085
1,72753E+12;2024-09-28T15.53.39.745;1.150;0.024;-0.015;0.818;-49.268;8.415;73.963
1,72753E+12;2024-09-28T15.53.39.755;1.160;0.008;-0.024;0.823;-47.439;9.756;74.146
1,72753E+12;2024-09-28T15.53.39.765;1.170;0.025;-0.030;0.817;-46.037;12.439;72.683
1,72753E+12;2024-09-28T15.53.39.775;1.180;0.021;-0.039;0.804;-45.061;14.329;69.634
